iid,counter
2321,"{'3760': 1, '1220': 1, '2791': 1, '1580': 4, '590': 1, '471': 1, '231': 2, '352': 1, '3516': 1, '474': 2, '595': 2, '232': 1, '597': 2, '235': 1, '2302': 4, '356': 8, '1213': 1, '357': 9, '2542': 5, '1210': 1, '3751': 2, '915': 2, '11': 4, '3093': 1, '2683': 1, '1230': 1, '3099': 1, '480': 1, '3094': 1, '3526': 1, '1': 8, '1347': 1, '2': 1, '2797': 4, '125': 5, '367': 1, '1344': 1, '1223': 1, '1222': 2, '1464': 1, '6': 2, '248': 1, '1584': 1, '2431': 1, '1907': 1, '921': 2, '801': 1, '802': 1, '924': 1, '805': 1, '21': 7, '22': 1, '29': 1, '1484': 1, '2330': 1, '2571': 3, '492': 3, '373': 1, '1238': 1, '497': 2, '1356': 1, '2324': 3, '1235': 1, '1476': 2, '1234': 2, '1597': 1, '2443': 1, '1918': 1, '933': 1, '1914': 2, '3418': 2, '32': 2, '34': 4, '36': 1, '3671': 1, '39': 12, '3793': 2, '3552': 3, '380': 1, '260': 1, '2580': 1, '2336': 3, '3424': 1, '1125': 2, '2696': 1, '2333': 2, '3543': 1, '1806': 2, '705': 2, '1923': 11, '708': 1, '45': 4, '47': 4, '48': 1, '2352': 1, '1261': 1, '150': 3, '1380': 1, '151': 1, '2108': 3, '1259': 1, '2347': 1, '1258': 2, '1136': 1, '1256': 2, '1014': 1, '953': 2, '1012': 2, '52': 1, '838': 1, '58': 1, '2243': 1, '2000': 4, '3451': 1, '1394': 1, '2482': 1, '1393': 4, '1392': 2, '1271': 1, '161': 1, '2359': 6, '3448': 2, '1028': 4, '1269': 1, '2599': 2, '1266': 1, '2355': 16, '2596': 2, '1265': 3, '2919': 1, '2918': 2, '2916': 2, '2915': 2, '1704': 1, '728': 2, '2912': 2, '69': 1, '3341': 1, '1042': 1, '171': 1, '2371': 1, '293': 1, '2491': 1, '296': 2, '176': 1, '3578': 1, '852': 1, '3213': 2, '2124': 2, '1034': 1, '1397': 1, '735': 1, '1959': 1, '858': 1, '1955': 1, '1713': 1, '1834': 1, '1175': 1, '2384': 1, '2140': 1, '3350': 1, '1291': 1, '1965': 2, '3108': 1, '1721': 1, '1963': 1, '2015': 1, '3466': 1, '986': 1, '1608': 1, '1729': 2, '508': 1, '1968': 3, '1845': 1, '1966': 1, '2155': 1, '2396': 5, '2395': 9, '3363': 2, '2394': 1, '3361': 3, '3240': 1, '3481': 1, '2150': 1, '1060': 4, '2390': 6, '750': 1, '2700': 5, '1732': 3, '2028': 2, '1610': 2, '3358': 5, '2268': 2, '633': 1, '1299': 1, '1298': 1, '514': 1, '515': 1, '2708': 1, '2706': 2, '1077': 1, '3255': 2, '1197': 1, '3253': 3, '3252': 3, '1073': 2, '1500': 6, '2951': 1, '1982': 1, '3809': 1, '523': 1, '1188': 1, '529': 1, '1748': 1, '2716': 8, '1747': 6, '2836': 1, '1625': 3, '3386': 4, '3264': 1, '2174': 1, '2052': 1, '3261': 1, '3260': 1, '892': 1, '1633': 1, '2961': 1, '534': 1, '1079': 3, '535': 1, '1078': 1, '778': 1, '538': 1, '1639': 1, '1517': 5, '1090': 1, '1097': 1, '2065': 1, '3396': 2, '2064': 2, '1094': 1, '1092': 1, '300': 4, '1884': 1, '1641': 3, '3148': 1, '1883': 2, '307': 1, '1408': 1, '1407': 2, '3163': 2, '3160': 1, '671': 1, '1777': 4, '1414': 1, '2987': 2, '2502': 2, '431': 1, '553': 1, '3039': 4, '3159': 1, '3037': 1, '799': 1, '317': 1, '318': 1, '3712': 2, '1537': 3, '2747': 1, '3178': 1, '2088': 1, '3175': 4, '3174': 2, '3052': 7, '3173': 1, '440': 1, '441': 1, '562': 1, '3728': 1, '2997': 3, '2875': 1, '1663': 3, '1784': 15, '1542': 1, '2750': 3, '3608': 1, '2759': 2, '1307': 1, '3060': 5, '1682': 2, '2770': 2, '2890': 3, '1680': 2, '3063': 1, '454': 1, '1674': 1, '2883': 2, '1673': 1, '457': 2, '2640': 1, '337': 1, '339': 2, '2529': 1, '2406': 1, '3079': 1, '1693': 1, '342': 3, '2657': 1, '3504': 1, '101': 2, '222': 1, '223': 6, '224': 1, '345': 3, '588': 5, '2774': 1, '104': 4, '589': 1, '1441': 2, '348': 4, '229': 1, '3507': 3, '1449': 5, '906': 1}"
2355,"{'909': 1, '1220': 1, '2791': 3, '1580': 8, '2427': 1, '2546': 2, '1215': 2, '3513': 1, '2302': 1, '1211': 1, '2542': 2, '2541': 21, '1694': 1, '1210': 1, '3751': 9, '3873': 1, '913': 1, '3634': 1, '916': 2, '2549': 1, '919': 2, '3770': 1, '3406': 1, '3527': 1, '1': 7, '3526': 1, '3404': 1, '1588': 1, '2434': 3, '2797': 3, '2433': 5, '5': 1, '1223': 1, '6': 1, '1342': 1, '1584': 2, '3408': 9, '2572': 1, '1240': 2, '2571': 1, '2690': 2, '3536': 1, '2688': 1, '2687': 3, '2686': 1, '1476': 1, '2443': 1, '2321': 2, '932': 1, '3653': 1, '3775': 1, '938': 1, '3418': 1, '3671': 1, '2100': 1, '2463': 1, '1374': 1, '3552': 7, '1131': 1, '2457': 1, '2336': 16, '1125': 1, '2455': 1, '2575': 1, '3543': 17, '3421': 2, '700': 1, '3786': 1, '946': 2, '1022': 9, '2353': 1, '2352': 1, '1259': 1, '1017': 1, '1015': 1, '3556': 1, '1257': 1, '953': 1, '1012': 1, '3798': 1, '837': 1, '2001': 1, '2000': 10, '1032': 2, '1394': 1, '1270': 3, '2118': 1, '1029': 3, '2359': 4, '3448': 2, '1028': 9, '1148': 1, '1269': 2, '1027': 1, '2599': 14, '2236': 1, '1025': 3, '3203': 30, '1387': 2, '1265': 5, '1023': 3, '603': 1, '969': 1, '728': 1, '3100': 1, '1042': 3, '2493': 1, '2371': 1, '2369': 11, '3578': 2, '610': 1, '852': 1, '1278': 1, '1035': 3, '736': 1, '1297': 1, '2144': 1, '2384': 3, '1294': 1, '2140': 1, '1171': 1, '1291': 1, '3108': 2, '2139': 2, '2018': 11, '3105': 1, '2137': 2, '2136': 1, '866': 1, '745': 1, '628': 3, '508': 1, '2396': 6, '2395': 2, '3363': 3, '3484': 1, '1064': 1, '2394': 3, '3362': 2, '3361': 7, '1061': 1, '1060': 2, '2391': 1, '2390': 2, '2029': 1, '3238': 1, '3358': 2, '2147': 1, '2268': 1, '1179': 1, '3114': 2, '3476': 1, '2266': 1, '3113': 2, '514': 2, '1077': 2, '1198': 3, '3255': 7, '1197': 3, '3253': 5, '1196': 2, '3252': 1, '1073': 3, '2041': 1, '2161': 1, '2160': 1, '2038': 4, '2037': 2, '3125': 1, '1188': 2, '527': 2, '529': 3, '2290': 1, '1080': 1, '3386': 2, '2174': 3, '2294': 11, '531': 4, '3016': 6, '2289': 1, '3499': 1, '1078': 3, '778': 1, '538': 1, '417': 1, '539': 1, '1090': 2, '1097': 2, '3396': 8, '2065': 1, '2064': 1, '1094': 1, '1093': 5, '780': 1, '661': 1, '662': 1, '3029': 1, '300': 2, '543': 1, '785': 1, '2059': 2, '3148': 1, '3147': 1, '2057': 1, '549': 1, '307': 1, '2078': 5, '3167': 1, '2077': 1, '3044': 2, '2072': 1, '3160': 1, '671': 1, '551': 5, '553': 1, '3039': 1, '3159': 6, '3037': 1, '319': 1, '2081': 6, '2080': 1, '2089': 1, '3178': 4, '2087': 1, '3175': 6, '2085': 3, '3174': 2, '3052': 2, '441': 3, '3060': 1, '2096': 1, '457': 4, '3070': 1, '3072': 1, '342': 1, '101': 1, '223': 18, '344': 1, '587': 2, '104': 2, '588': 15, '589': 5, '348': 5, '107': 1, '3081': 1, '3087': 1, '590': 2, '592': 2, '593': 2, '110': 4, '594': 6, '352': 1, '474': 1, '595': 3, '475': 1, '597': 1, '477': 1, '356': 10, '357': 3, '239': 1, '11': 2, '13': 2, '16': 1, '480': 2, '364': 18, '125': 2, '367': 1, '368': 1, '1907': 7, '21': 4, '24': 1, '25': 1, '27': 1, '1919': 2, '497': 1, '1914': 4, '1911': 11, '32': 3, '34': 6, '36': 2, '39': 2, '141': 1, '144': 2, '145': 1, '1806': 1, '1923': 9, '45': 3, '47': 1, '150': 5, '2908': 11, '52': 1, '58': 1, '2918': 5, '1948': 1, '2916': 1, '62': 1, '1704': 2, '69': 1, '171': 1, '293': 1, '296': 1, '1953': 1, '2804': 2, '1835': 1, '1713': 1, '1968': 7, '1732': 2, '2700': 17, '1610': 1, '3916': 1, '1730': 1, '2706': 6, '2948': 1, '3911': 1, '2946': 1, '2712': 1, '2711': 1, '2710': 16, '1500': 6, '2950': 1, '2718': 4, '2959': 6, '2716': 10, '1747': 4, '1625': 2, '3814': 1, '1997': 1, '1633': 1, '2722': 5, '2720': 1, '1994': 1, '1639': 2, '1517': 6, '2605': 3, '3812': 1, '1888': 1, '2976': 16, '2975': 1, '1885': 1, '1641': 5, '1883': 2, '2739': 1, '1407': 1, '2617': 1, '2858': 5, '1405': 4, '2857': 1, '2746': 1, '2987': 5, '2624': 1, '1414': 2, '1777': 4, '2501': 1, '2622': 1, '1411': 1, '2862': 1, '2861': 2, '3712': 2, '3713': 1, '2881': 15, '1304': 5, '2997': 2, '1422': 1, '1300': 1, '1663': 2, '1784': 10, '3608': 2, '1307': 2, '2759': 6, '2771': 7, '1682': 2, '2770': 28, '2890': 2, '3615': 6, '2888': 1, '2763': 1, '2762': 2, '1673': 2, '1552': 1, '2761': 12, '2529': 1, '2406': 3, '3871': 1, '1446': 1, '1566': 2, '3741': 1, '900': 1, '1449': 1, '3868': 2}"
2475,"{'3441': 3, '2054': 1, '1460': 1, '292': 1, '593': 1, '1459': 2, '1833': 1, '376': 1, '1754': 1, '750': 1, '257': 1, '2344': 1, '479': 1, '2123': 1, '3014': 1, '3113': 1, '3676': 1, '2707': 1, '1739': 1, '517': 2, '759': 1, '2527': 1, '2406': 1, '2505': 3, '2802': 1, '2122': 1, '3430': 1, '2121': 1, '3153': 3, '1092': 1, '3946': 1, '1964': 1, '3404': 1, '1127': 2, '2875': 1, '982': 1, '1124': 1, '3444': 1, '922': 1, '2918': 1, '2819': 1, '648': 1, '408': 1, '969': 1, '1407': 1, '2517': 1, '1625': 1}"
3174,"{'3082': 1, '3081': 4, '1220': 1, '2791': 1, '1580': 2, '590': 2, '593': 3, '231': 2, '475': 1, '597': 1, '356': 4, '3512': 1, '357': 1, '3510': 1, '3752': 10, '3753': 1, '913': 1, '1218': 1, '11': 1, '14': 1, '3893': 1, '2683': 1, '1': 1, '364': 2, '125': 1, '367': 2, '1586': 2, '368': 1, '2310': 2, '3408': 1, '21': 1, '3528': 1, '24': 1, '27': 1, '2572': 2, '492': 1, '253': 1, '377': 3, '3535': 1, '2567': 1, '3534': 1, '2686': 1, '2443': 1, '2321': 1, '2442': 1, '1916': 2, '34': 1, '3791': 1, '3671': 1, '39': 1, '3794': 1, '2463': 2, '1132': 1, '3552': 3, '2581': 4, '260': 1, '141': 1, '1921': 2, '147': 1, '1244': 1, '3301': 2, '3300': 1, '700': 1, '1805': 1, '1923': 1, '708': 1, '43': 1, '3429': 1, '45': 1, '150': 1, '151': 1, '1259': 2, '156': 1, '3556': 1, '2585': 1, '3677': 1, '837': 2, '838': 2, '52': 1, '2109': 1, '2001': 2, '1032': 1, '2000': 2, '3450': 1, '2359': 2, '3448': 1, '1028': 1, '2478': 1, '3566': 1, '2918': 1, '968': 10, '1946': 1, '2912': 2, '1042': 1, '3461': 1, '2490': 4, '175': 1, '296': 1, '3219': 1, '298': 1, '299': 2, '2248': 1, '736': 1, '1959': 3, '858': 2, '2805': 4, '2804': 1, '1834': 2, '3112': 1, '3354': 1, '180': 3, '2384': 1, '1171': 1, '3591': 1, '500': 1, '1729': 1, '508': 1, '1966': 1, '1066': 1, '2396': 2, '2395': 5, '2394': 3, '2272': 1, '3361': 1, '1061': 1, '1060': 1, '2390': 9, '2700': 1, '1732': 3, '2028': 1, '1059': 1, '3358': 2, '2145': 1, '2709': 5, '2826': 1, '1614': 1, '3255': 2, '3250': 1, '2282': 1, '2713': 1, '2712': 3, '3129': 1, '3005': 1, '3125': 2, '3809': 2, '3004': 1, '529': 1, '2959': 4, '1747': 5, '2714': 1, '1625': 1, '2170': 1, '2723': 11, '1513': 2, '531': 1, '653': 1, '534': 1, '536': 1, '1639': 1, '1517': 1, '3812': 1, '1094': 1, '3271': 1, '1404': 1, '2977': 1, '1645': 1, '2734': 3, '2976': 2, '3948': 1, '300': 1, '785': 2, '3148': 1, '1641': 3, '3147': 2, '1648': 1, '1405': 2, '3044': 1, '3160': 1, '2746': 1, '2987': 2, '1777': 5, '2502': 11, '2622': 5, '1895': 1, '3157': 1, '799': 2, '318': 4, '1419': 1, '2629': 1, '1537': 1, '2081': 1, '2080': 1, '3298': 1, '3176': 12, '3175': 12, '3053': 5, '3173': 1, '3052': 2, '562': 1, '2997': 7, '1784': 2, '1542': 1, '207': 1, '3606': 1, '3060': 2, '1682': 3, '2770': 1, '3186': 6, '3185': 3, '3063': 1, '2889': 1, '574': 2, '333': 1, '454': 1, '213': 1, '2883': 1, '457': 1, '3179': 1, '342': 1, '344': 1, '1203': 1, '3623': 10, '3501': 1, '345': 1, '104': 1, '468': 1, '105': 1, '2772': 1, '3743': 1, '1208': 2, '2539': 2, '1449': 1, '3868': 2}"
994,"{'1340': 1, '593': 1, '474': 1, '232': 1, '1699': 1, '475': 1, '235': 4, '2302': 1, '1213': 1, '1333': 1, '357': 1, '1694': 2, '1219': 1, '919': 1, '16': 2, '17': 4, '1594': 2, '1': 1, '3526': 1, '1104': 1, '246': 2, '2797': 2, '1223': 1, '920': 2, '800': 7, '924': 1, '21': 1, '25': 1, '2573': 1, '2694': 1, '1120': 1, '2571': 1, '497': 1, '1358': 3, '1357': 2, '2324': 2, '1235': 3, '2686': 1, '1233': 2, '1914': 2, '3659': 1, '32': 2, '3418': 1, '2329': 4, '34': 2, '36': 3, '1132': 1, '1252': 1, '2583': 1, '1250': 1, '141': 1, '262': 1, '1921': 1, '265': 1, '1249': 1, '2336': 2, '3424': 2, '1245': 1, '2696': 1, '3543': 1, '3421': 1, '1929': 1, '1263': 1, '2352': 1, '150': 4, '154': 1, '1810': 1, '1931': 1, '1258': 1, '1136': 4, '1012': 1, '2908': 3, '1938': 1, '50': 2, '1936': 1, '58': 2, '1393': 1, '1150': 1, '1271': 1, '1392': 1, '162': 1, '1270': 1, '3329': 1, '1148': 1, '2357': 1, '1147': 1, '2599': 2, '720': 1, '1267': 1, '1265': 2, '969': 1, '1704': 4, '1945': 2, '608': 2, '2010': 1, '1284': 1, '1041': 1, '3461': 1, '293': 1, '296': 4, '1953': 1, '1952': 1, '1277': 2, '3334': 1, '1719': 4, '2804': 1, '1956': 2, '1834': 4, '1054': 1, '1172': 1, '1293': 1, '1050': 1, '1292': 1, '1171': 1, '3108': 1, '3903': 1, '1964': 1, '1962': 1, '3105': 2, '3347': 1, '3224': 1, '745': 1, '1729': 2, '628': 1, '85': 1, '509': 1, '2396': 1, '2395': 2, '1185': 2, '1183': 3, '3361': 1, '1060': 1, '1732': 3, '3118': 1, '1610': 1, '3359': 1, '2268': 1, '632': 2, '1179': 1, '512': 1, '515': 1, '2947': 1, '3134': 1, '3129': 1, '1500': 1, '2159': 1, '3246': 1, '1188': 2, '2959': 2, '529': 2, '3260': 1, '2291': 1, '1635': 1, '2966': 3, '1633': 1, '3499': 1, '1079': 1, '2289': 3, '535': 1, '3135': 1, '778': 2, '2728': 1, '3811': 1, '1517': 2, '1090': 1, '1096': 1, '1095': 3, '1094': 1, '3270': 1, '2612': 1, '541': 2, '300': 1, '1643': 1, '2732': 1, '1641': 3, '3148': 1, '428': 1, '307': 2, '308': 2, '2858': 2, '3703': 1, '3163': 1, '318': 3, '2087': 1, '562': 1, '1304': 1, '441': 2, '2997': 1, '1784': 2, '2750': 2, '2871': 1, '448': 2, '3608': 1, '3181': 2, '1682': 1, '2890': 2, '211': 1, '213': 2, '1674': 1, '457': 2, '2762': 2, '1673': 3, '337': 3, '3198': 1, '462': 1, '1206': 1, '2899': 1, '1446': 1, '223': 2, '345': 1, '1208': 3}"
1967,"{'89': 1, '3081': 1, '1580': 1, '590': 1, '593': 1, '595': 1, '1215': 1, '2700': 1, '750': 1, '3479': 2, '1210': 3, '1298': 1, '912': 1, '913': 1, '1615': 1, '919': 1, '1230': 1, '3253': 1, '1073': 9, '480': 1, '2161': 5, '362': 1, '364': 1, '485': 1, '1': 1, '2': 4, '3927': 1, '3523': 1, '2797': 19, '3807': 1, '367': 16, '3247': 1, '3489': 3, '2311': 1, '2399': 1, '2795': 1, '1101': 4, '8': 1, '800': 1, '801': 1, '527': 1, '2718': 1, '2959': 1, '2054': 3, '1085': 1, '2052': 1, '1081': 1, '1876': 1, '1997': 1, '653': 3, '2968': 10, '2846': 1, '34': 2, '3398': 2, '3552': 1, '2100': 2, '3034': 1, '1252': 3, '1010': 1, '1097': 5, '380': 3, '1371': 1, '3152': 1, '1920': 1, '1007': 1, '541': 1, '1127': 1, '2455': 1, '303': 1, '2858': 1, '1009': 3, '2474': 1, '2078': 1, '2193': 4, '1019': 1, '2108': 1, '551': 1, '2987': 2, '3438': 2, '1017': 1, '1258': 1, '2622': 1, '2105': 2, '674': 1, '1378': 1, '3435': 1, '3159': 1, '2103': 1, '1012': 1, '2628': 4, '2109': 1, '1033': 1, '2243': 2, '1275': 4, '2000': 1, '2087': 1, '1031': 3, '2240': 1, '1271': 1, '2085': 1, '1305': 2, '3727': 1, '2117': 1, '2116': 1, '2115': 2, '329': 1, '1307': 1, '2090': 1, '2133': 2, '2253': 1, '3461': 1, '2371': 2, '2093': 3, '2405': 3, '3615': 1, '2006': 3, '1676': 1, '2005': 25, '2247': 1, '1036': 1, '2366': 1, '1552': 1, '2245': 1, '2641': 2, '2003': 2, '733': 2, '2640': 1, '858': 1, '2926': 1, '2804': 1, '3070': 1, '2143': 4, '2021': 9, '2141': 1, '2020': 1, '3471': 1, '2140': 5, '1291': 1, '1290': 1, '3505': 1, '2416': 1, '1688': 1, '2017': 1, '2413': 2, '2015': 2, '588': 1, '107': 1, '900': 1}"
2661,"{'2091': 1, '2012': 1, '1240': 1, '3044': 1, '1580': 1, '2393': 1, '2173': 1, '2094': 1, '2105': 1, '674': 2, '1334': 1, '2346': 2, '2664': 1, '2663': 1, '1376': 1, '2662': 2, '899': 1, '50': 1, '3699': 1, '2529': 1, '3658': 1, '3793': 1, '1371': 1, '480': 1, '3072': 1, '1129': 1, '2613': 1, '2117': 1, '1127': 1, '2116': 1, '1301': 1, '2872': 1, '2531': 1, '1320': 1, '327': 1, '3685': 1, '3700': 1}"
1385,"{'1580': 3, '2273': 1, '2393': 3, '590': 1, '3481': 1, '1459': 1, '2028': 1, '1333': 1, '996': 1, '1298': 1, '1573': 3, '517': 1, '95': 1, '3519': 1, '1616': 2, '10': 2, '1198': 1, '480': 2, '2712': 1, '1587': 2, '1586': 2, '368': 1, '3247': 1, '2795': 1, '7': 1, '1100': 1, '524': 1, '3763': 1, '648': 2, '26': 1, '3020': 2, '1876': 3, '2723': 1, '1479': 2, '1754': 1, '377': 1, '1597': 2, '533': 1, '2167': 1, '1918': 1, '1518': 2, '3156': 1, '3430': 1, '1250': 1, '380': 3, '3274': 1, '1370': 1, '3029': 1, '544': 1, '2334': 4, '786': 1, '2059': 1, '423': 1, '1882': 1, '303': 2, '3268': 1, '548': 1, '1408': 2, '2617': 1, '2616': 1, '1801': 1, '3680': 1, '3683': 1, '2353': 1, '1660': 1, '552': 1, '2347': 2, '3555': 2, '315': 1, '316': 3, '2989': 1, '3178': 1, '1275': 1, '1792': 1, '2001': 1, '163': 1, '164': 1, '165': 8, '1788': 1, '442': 2, '168': 1, '1544': 2, '1266': 3, '204': 1, '1387': 1, '205': 1, '329': 3, '292': 2, '2094': 1, '2490': 3, '2403': 2, '1676': 1, '2006': 3, '1037': 1, '3578': 1, '852': 1, '1552': 1, '2641': 1, '2002': 3, '2365': 1, '216': 1, '3697': 1, '736': 5, '858': 1, '2409': 1, '2648': 1, '2023': 3, '2540': 1, '1690': 1, '3197': 2, '3075': 1, '580': 1, '185': 1, '1205': 1, '1722': 5, '3107': 2, '1687': 1, '586': 1, '1049': 3, '466': 1, '500': 1, '1047': 1, '227': 1, '2013': 1, '2376': 2, '3740': 2, '349': 3, '1608': 3, '1604': 1}"
1759,"{'3181': 1, '2890': 1, '150': 1, '293': 1, '750': 2, '1214': 1, '1694': 1, '1056': 1, '337': 1, '515': 1, '913': 1, '3634': 1, '1419': 1, '1517': 1, '2705': 1, '3518': 1, '3713': 1, '1151': 1, '2580': 1, '1844': 1, '266': 1, '300': 1, '1247': 1, '2336': 1, '1466': 2, '1267': 1, '1266': 1, '501': 1, '524': 1, '448': 1, '527': 1, '549': 1, '21': 1}"
354,"{'36': 1, '2022': 1, '1120': 1, '3165': 1, '1093': 1, '372': 1, '593': 1, '3428': 1, '1678': 1, '3502': 1, '3707': 1, '1687': 1, '333': 1, '521': 1, '2389': 1, '534': 1, '524': 1, '2046': 1, '2829': 1, '83': 1, '2913': 1, '21': 1}"
429,"{'69': 1, '1284': 1, '3260': 1, '450': 1, '1811': 1, '2029': 1, '3359': 1, '333': 1, '575': 1, '3578': 1, '2004': 1, '435': 1, '2002': 2, '1617': 1, '3712': 1, '3793': 1, '3174': 1, '185': 1, '486': 1, '1665': 1, '2335': 2, '368': 1, '1344': 1, '445': 1, '1762': 1, '1167': 1, '1604': 1, '65': 1}"
1472,"{'919': 1, '47': 1, '2023': 1, '2571': 1, '280': 1, '1480': 1, '1180': 1, '431': 1, '2126': 1, '1662': 1, '1089': 1, '999': 2, '1805': 3, '2605': 1}"
3739,"{'919': 1, '3134': 1, '1296': 1, '3022': 1, '3030': 1, '1': 1, '1446': 1, '1247': 1, '1235': 1, '1256': 1, '951': 1, '3532': 1, '910': 1, '668': 1, '318': 1, '2708': 1, '903': 1, '927': 1, '608': 1, '1207': 1, '928': 1}"
1434,"{'3550': 1, '1210': 1}"
2072,"{'2473': 1, '1461': 1, '592': 1, '594': 1, '2867': 1, '111': 1, '2788': 1, '2942': 1, '234': 1, '2622': 1, '1378': 1, '2862': 1, '3235': 1, '2387': 1, '1858': 1, '2826': 1, '3693': 1, '2088': 1, '2241': 1, '3253': 1, '3450': 1, '2085': 2, '1270': 1, '3206': 1, '3525': 1, '520': 1, '289': 1, '3': 1, '2478': 3, '1587': 1, '368': 1, '2399': 1, '1541': 1, '1265': 1, '924': 2, '3688': 1, '2717': 2, '3420': 2, '2375': 1, '3387': 1, '2374': 1, '3261': 1, '2405': 2, '3459': 1, '2402': 1, '2203': 1, '413': 1, '2245': 1, '779': 1, '34': 2, '2143': 1, '3033': 1, '1173': 1, '260': 1, '3392': 1, '141': 1, '186': 1, '2735': 1, '1127': 2, '2413': 2, '1203': 4, '344': 1, '2378': 1, '2410': 1, '745': 1, '505': 1, '509': 1, '1009': 1}"
3138,"{'1090': 1, '3552': 1, '3331': 1, '3197': 1, '1173': 1, '1228': 1, '2745': 1, '2268': 1, '3148': 1, '2443': 1, '2750': 1, '1188': 1, '1221': 1, '2918': 1, '934': 1, '517': 1, '2804': 1, '1968': 1, '2738': 1, '2902': 1, '3714': 1}"
1825,"{'3697': 1, '170': 1, '1544': 1, '292': 1, '434': 1, '315': 1}"
3459,"{'12': 1, '2782': 1, '2163': 1, '3481': 1, '1888': 1, '3118': 1, '288': 1, '2149': 1, '3839': 1, '2148': 1, '1587': 1, '2134': 1, '900': 1, '3952': 1, '606': 1, '1449': 1}"
1113,"{'3145': 1, '3244': 1, '2561': 1, '3362': 1, '1270': 2, '187': 1, '552': 1, '2468': 1, '532': 1, '367': 1, '1784': 2, '920': 1, '2640': 1, '539': 1, '3812': 1}"
335,"{'47': 1, '190': 1, '1120': 1, '1086': 1, '3175': 1, '1183': 1, '1260': 1, '1194': 1, '1061': 1, '350': 1, '2009': 1, '3108': 1, '882': 1, '1675': 1, '259': 1, '2289': 1, '149': 1, '3267': 1, '1210': 1, '3730': 1, '1824': 1, '1603': 1}"
2465,"{'2119': 1, '1986': 1, '2374': 1}"
404,"{'1304': 1, '1721': 1}"
1203,"{'908': 7, '3088': 1, '471': 1, '593': 9, '1217': 2, '110': 1, '111': 1, '2788': 1, '1214': 2, '235': 1, '356': 1, '1213': 4, '1212': 1, '2664': 1, '3510': 1, '910': 2, '912': 2, '914': 1, '3634': 1, '915': 2, '916': 1, '1219': 1, '1218': 1, '11': 1, '919': 2, '1594': 1, '1231': 5, '1230': 3, '1592': 1, '3098': 1, '3096': 1, '3095': 1, '1228': 2, '1': 2, '1226': 1, '2677': 1, '1104': 2, '1225': 3, '1103': 2, '2313': 1, '247': 1, '1222': 1, '920': 2, '1221': 2, '923': 1, '924': 44, '926': 1, '25': 2, '3420': 1, '1242': 1, '1240': 1, '2571': 1, '1237': 2, '1358': 5, '1357': 1, '2324': 3, '1234': 1, '1233': 7, '3531': 1, '932': 1, '933': 1, '3655': 1, '2329': 1, '3418': 1, '32': 2, '36': 1, '1253': 4, '1131': 1, '1251': 2, '1250': 10, '1249': 2, '1127': 2, '3304': 1, '1247': 9, '1367': 1, '940': 1, '1245': 1, '1243': 1, '949': 1, '3683': 2, '2352': 1, '1263': 3, '150': 1, '1019': 2, '1259': 1, '952': 1, '953': 4, '1012': 2, '954': 1, '2908': 2, '1270': 6, '1941': 1, '1148': 1, '1267': 1, '1387': 1, '1266': 1, '2475': 2, '965': 2, '969': 1, '1946': 1, '1704': 6, '608': 2, '3222': 1, '2010': 2, '1283': 1, '1282': 1, '1281': 1, '1280': 1, '296': 1, '1952': 1, '971': 2, '1950': 2, '3578': 1, '1276': 7, '1719': 1, '858': 1, '2804': 2, '1957': 1, '3475': 1, '1294': 1, '2020': 2, '2262': 1, '1293': 1, '3471': 3, '1172': 2, '3470': 1, '1292': 1, '2019': 3, '1962': 1, '1961': 1, '3105': 1, '3468': 2, '1288': 2, '1287': 4, '745': 1, '1609': 1, '3365': 1, '2396': 1, '3363': 1, '1185': 2, '3362': 1, '2031': 1, '3361': 1, '750': 2, '2028': 6, '3359': 3, '3114': 2, '1299': 3, '1177': 1, '999': 1, '1617': 2, '2826': 1, '1198': 2, '1197': 1, '1196': 4, '3251': 1, '1193': 3, '1503': 1, '3007': 2, '2952': 1, '3006': 3, '3928': 1, '2398': 1, '527': 3, '3801': 3, '1080': 1, '1084': 1, '3936': 1, '410': 1, '3379': 1, '3499': 1, '898': 1, '1199': 1, '778': 1, '2728': 1, '2726': 1, '2967': 1, '1090': 2, '3035': 3, '1097': 2, '1094': 1, '3271': 1, '2612': 1, '3948': 1, '541': 2, '3949': 1, '1885': 1, '300': 1, '2732': 1, '1884': 1, '2731': 4, '3148': 1, '3147': 1, '3267': 1, '2859': 1, '2858': 2, '3160': 1, '2501': 1, '3038': 2, '3037': 1, '318': 2, '2505': 1, '2080': 1, '3178': 1, '1304': 1, '1303': 1, '2997': 1, '1300': 1, '1784': 1, '446': 1, '3060': 1, '3737': 1, '1678': 1, '1676': 1, '2761': 1, '3617': 1, '3736': 2, '3871': 1, '2660': 1, '3198': 1, '3196': 1, '581': 1, '3504': 2, '1204': 2, '344': 2, '345': 1, '1683': 1, '900': 1, '903': 5, '904': 2, '1208': 4, '1207': 5}"
